外感风寒表实证。恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧。	麻黄 桂枝 杏仁 甘草
三焦火毒证。大热烦躁，口燥咽干，错语不眠；或热病吐血、衄血；或热甚发斑；或身热下利，或湿热黄疸；或外科痈	黄连 黄芩 黄柏 栀子
阳证痈疡肿毒初起。红肿掀痛，或身热凛寒，苔薄白或黄，脉数有力。	白芷 贝母 防风 赤芍药 当归尾 甘草 皂角刺 穿山甲 天花粉 乳香 没药 金银花 陈皮
心经火热证。心胸烦热，口渴面赤，意欲冷饮，以及口舌生疮；或心热移于小肠，小便赤涩刺痛，舌红，脉数。	生地黄 木通 生甘草
1、肝胆实火上炎。头痛目赤，胁痛，口苦，耳聋，耳肿，舌红苔黄，脉弦数有力。2、肝经湿热下注证。阴肿，阴痒，筋萎，阴汗，小便淋浊，或妇女带下黄臭等。舌红苔黄腻，脉弦数有力。	龙胆草 黄芩 栀子 泽泻 木通 当归 生地黄 柴胡 生甘草 车前子
肺热喘咳证。气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数。	地骨皮 桑白皮 甘草
胃火牙痛。牙痛牵引头疼，而颊发热，其齿喜冷恶热，或牙宣出血，或牙龈红肿溃烂，或唇舌腮颊肿痛，口气热臭，口干舌燥，舌红苔黄，脉滑数。	生地黄 当归身 牡丹皮 黄连 升麻
协热下利。身热下利，胸脘烦热，口干作渴，喘而汗出，舌红苔黄，脉数或促。	葛根 甘草 黄芩 黄连
湿热痢疾。腹痛便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉弦数。	芍药 当归 黄连 槟榔 木香 甘草 大黄 黄芩 官桂
温病后期，邪伏阴分证。夜热早凉，热退无汗，舌红苔少，脉细数。	青蒿 鳖甲 细生地 知母 丹皮
暑湿证。身热烦渴，小便不利，或泄泻。	滑石 甘草
暑热气津两伤证。身热汗多，口渴心烦，小便短赤，体倦少气，精神不振，脉虚数。	西洋参 石斛 麦冬 黄连 竹叶 荷梗 知母 甘草 粳米 西瓜翠衣
1、脾胃虚寒证。脘腹绵绵作痛，喜温喜按，呕吐，大便稀溏，脘痞食少，畏寒肢冷，口不渴，舌淡苔白润，脉沉细或沉迟无力。2、阳虚失血证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀。3、脾胃虚寒所致的胸痹；或病后多涎；或小二慢惊等。	人参 干姜 甘草
中焦虚寒，肝脾不和证。腹中拘急疼痛，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁，面色无华；或伴四肢酸楚，手足烦热，咽干口燥。舌淡苔白，脉细数。	桂枝 甘草 大枣 芍药 生姜 饴糖
肝脾虚寒，浊阴上逆证。食后泛泛欲吐，或呕吐酸水，或干呕，或吐清涎冷沫，胸满脘痛，巅顶头痛，畏寒肢凉，甚则伴手足逆冷，大便泄泻，烦躁不宁，舌淡苔白滑，脉沉弦或迟。	吴茱萸 人参 生姜 大枣
心肾阳衰寒厥证。四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，腹痛下利，呕吐不渴，舌苔白滑，脉微细。	甘草 干姜 附子
血虚寒厥证。手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝。	当归 桂枝 芍药 细辛 甘草 通草 大枣
阴疽。如贴骨疽、脱疽、流注、痰核、鹤膝风等，患处漫肿无头，皮色不变，酸楚无热，口中不渴，舌淡苔白，脉沉细或迟细。	熟地黄 麻黄 鹿角胶 白芥子 肉桂 生甘草 炮姜炭
脾胃气虚证。面色萎黄，语声低微，气短乏力，食少便溏，舌淡苔白，脉虚弱。	人参 白术 茯苓 甘草
脾胃气虚兼痰湿证。食少便溏，胸脘痞闷，呕逆等。	人参 白术 茯苓 甘草 陈皮 半夏
脾胃气虚，痰阻气滞证。呕吐痞闷，不思饮食，脘腹胀痛，消瘦倦怠，或气虚肿满。	人参 白术 茯苓 甘草 陈皮 半夏 木香 砂仁
脾虚湿胜证。饮食不化，胸脘痞闷，肠鸣泄泻，四肢乏力，形体消瘦，面色萎黄，舌淡苔白腻，脉虚缓。	莲子肉 薏苡仁 砂仁 桔梗 白扁豆 茯苓 人参 甘草 白术 山药
1、脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡，脉虚；以及脱肛、子宫脱垂，久泻久痢，崩漏等。2、气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。	黄芪 甘草 人参 当归 橘皮 升麻 柴胡 白术
表虚自汗。汗出恶风，面色恍白，舌淡苔薄白，脉浮虚。亦治虚人腠理不固，易感风邪。	防风 黄芪 白术
营血虚滞证。头晕目眩，心悸失眠，面色无华，妇人月经不调，量少或经闭不行，脐腹作痛，甚或瘕块硬结，舌淡，口唇、爪甲色淡，脉细弦或细涩。	当归 川芎 白芍 熟地黄
血虚兼血瘀证。妇女经期超前，血多有块，色紫稠粘，腹痛等。	当归 川芎 白芍 熟地黄 桃仁 红花
1、心脾气血两虚证。心悸怔忡，健忘失眠，盗汗，体倦食少，面色萎黄，舌淡，苔薄白，脉细弱。2、脾不统血证。便血，皮下紫癜，妇女崩漏，月经超前，量多色淡，或淋漓不止，舌淡，脉细数。	白术 当归 白茯苓 黄芪 远志 龙眼肉 酸枣仁 人参 木香 甘草
气血两虚证。面色苍白或萎黄，头晕目眩，四肢倦怠，气短懒言，心悸怔忡，饮食减少，舌淡苔薄白，脉细弱或虚大无力。	当归 川芎 白芍 熟地黄 人参 白术 茯苓 甘草
1、阴血阳气虚弱，心脉失养证。脉结代，心动悸，虚羸少气，舌光少苔，或质干而瘦小者。2、虚劳肺萎。干咳无痰，或咳吐涎沫，量少，行瘦短气，虚烦不眠，自汗盗汗，咽干舌燥，大便干结，脉虚数。	甘草 生姜 桂枝 人参 生地黄 阿胶 麦门冬 麻仁 大枣
肝肾阴虚证。腰膝酸软，头晕目眩，耳鸣耳聋，盗汗，遗精，消渴，骨蒸潮热，手足心热，口燥咽干，牙齿动摇，足跟作痛，小便淋沥，以及小儿囟门不合，舌红少苔，脉沉细数。	熟地黄 山萸肉 干山药 泽泻 牡丹皮 茯苓
肝肾阴虚，肝气郁滞证。胸脘胁痛，吞酸吐苦，咽干口燥，舌红少津，脉细弱或虚弦。亦治疝气瘕聚。	北沙参 麦冬 当归身 生地黄  枸杞子  川楝子
肾阳不足证。腰痛脚软，身半以下常有冷感，少腹拘急，小便不利，或小便反多，入夜尤甚，阳痿早泄，舌淡而胖，脉虚弱，尺部沉细；以及痰饮，水肿，消渴，脚气，转胞等。	干地黄 山药 山茱萸 泽泻 茯苓 牡丹皮 桂枝 附子
下元虚衰，痰浊上泛之喑痱证。舌强不能言，足废不能用，口干不欲饮，足冷面赤，脉沉细弱。	熟地黄 巴戟天 山茱萸 石斛 肉苁蓉 附子 五味子 官桂 茯苓 麦门冬 菖蒲 远志
体虚自汗、盗汗。常自汗出，夜卧更甚，心悸惊惕，短气烦倦，舌淡红，脉细弱。	黄芪 麻黄根 牡蛎
久咳肺虚证。久咳不已，咳甚则气喘自汗，痰少而黏，脉虚数。	人参 款冬花 桑白皮 桔梗 五味子 阿胶 乌梅 贝母 罂粟壳
久泻久痢，脾肾虚寒证。泻力无度，滑脱不禁，甚至脱肛坠下，脐腹疼痛，喜温喜按，倦怠食少，舌淡苔白，脉迟细。	人参 当归 白术 肉豆蔻 肉桂 甘草 白芍药 木香 诃子 罂粟壳
脾肾阳虚之肾泄证。五更泄泻，不思饮食，食不消化，或久泻不愈，腹痛喜温，腰酸肢冷，神疲乏力，舌淡，苔薄白，脉沉迟无力。	肉豆蔻 补骨脂 五味子 吴茱萸
肾虚不固之遗精。遗精滑泄，神疲乏力，腰痛耳鸣，舌淡苔白，脉细弱。	沙苑蒺藜 芡实 莲须 龙骨 牡蛎
心肾两虚证。小便频数，或尿如米泔涩，或遗尿，或遗精，心肾恍惚，健忘，舌淡苔白，脉细数。	桑螵蛸 远志 菖蒲 龙骨 人参 茯神 当归 龟甲 
脾肾亏虚，冲脉不固证。猝然血崩或月经过多，或漏下不止，色淡质稀，头晕肢冷，心悸气短，神疲乏力，腰膝酸软，舌淡，脉微细。	白术 生黄芪 龙骨 牡蛎 山萸肉 生杭芍 海螵蛸 茜草 棕边炭 五倍子
阴虚血热之崩漏。月经过多，或崩中漏下，血色深红或紫黑稠黏，手足心热，腰膝酸软，舌红，脉弦数。	黄芪 白芍 龟板 黄柏 椿树根皮 香附
肾虚湿热带下。带下黏稠量多，色黄如浓茶汁，其气腥秽，舌红，苔黄腻。	山药 芡实 黄柏 车前子 白果
心火亢盛，阴血不足证。失眠多梦，惊悸怔忡，心烦神乱，或胸中懊恼，舌尖红，脉细数。	朱砂 黄连 炙甘草 生地黄 当归
阴虚血少，神志不安证。心悸怔忡，心烦失眠，神疲健忘，或梦遗，手足心热，口舌生疮，大便干结，舌红少苔，脉细数。	人参 茯苓 玄参 丹参 桔梗 远志 当归 麦门冬 天门冬 柏子仁 酸枣仁 生地黄
肝血不足，虚弱内扰证。心烦失眠，心悸不安，头目眩晕，咽干口燥，舌红，脉弦细。	酸枣仁 甘草 知母 茯苓 川芎 
脏躁。精神恍惚，常悲伤欲哭，不能自主，心中烦乱，睡眠不安，甚则言行失常，呵欠频作，舌淡红苔少，脉细略数。	甘草 小麦 大枣
邪热内陷心包证。高热烦躁，神昏谵语，舌謇肢厥，舌红或绛，脉数有力。亦治中风昏迷，小儿惊厥属邪热内闭者。	牛黄 郁金 黄连 朱砂 犀角 梅片 麝香 真珠 山栀 雄黄 黄芩
温热病，热闭心包及热盛动风证。高热烦躁，神昏谵语，痉厥，口渴唇焦，尿赤便秘，舌质红绛，苔黄燥，脉数有力或弦；以及小儿热盛惊厥。	黄金 寒水石 石膏 磁石 滑石 玄参 羚羊角 犀角 升麻 沉香 丁香 青木香 甘草
痰热内闭心包证。神昏谵语，身热烦躁，痰盛气粗，舌绛苔黄垢腻，脉滑数。亦治中风、中暑、小儿惊厥属于痰热内闭证。	生乌犀 生玳瑁 琥珀 雄黄 牛黄 龙脑 麝香 安息香 金银箔
痰浊气滞血瘀之心绞痛。胸闷，憋气。	苏合香 冰片 乳香 檀香 青木香
六郁证。胸膈痞闷，脘腹吞酸，恶心呕吐，饮食不消。	香附 川芎 苍术 栀子 神曲
胸阳不振，痰气互结之胸痹。胸满而痛，甚或胸痛彻背，喘息咳唾，短气，气从胁下冲逆，上攻心胸，舌苔白腻，脉沉弦或紧。	枳实 厚朴 薤白 桂枝 瓜蒌
梅核气。咽中如有物阻，咯吐不出，吞咽不下，胸膈满闷，或咳或呕，舌苔白润或白滑，脉弦缓或弦滑。	半夏 厚朴 茯苓 生姜 苏叶
脾胃寒湿气滞证。脘腹胀满或疼痛，不思饮食，四肢倦怠，舌苔白腻，，脉沉弦。	厚朴 陈皮 甘草 茯苓 草豆蔻仁 木香 干姜
肝经气滞寒凝证。小肠疝气，少腹引控睾丸而痛，偏坠胀痛，或少腹疼痛，苔白，脉弦。	天台乌药 木香 小茴香 青皮 高良姜 槟榔 川楝子 巴豆
肝肾不足，寒滞肝脉证。睾丸冷痛，或小腹疼痛，疝气痛，畏寒喜暖，舌淡苔白，脉沉迟。	当归 枸杞子 小茴香 肉桂 乌药 沉香 茯苓
上实下虚喘咳证。痰涎壅盛，胸膈满闷，喘咳短气，呼多吸少，或腰疼脚弱，肢体倦怠，或肢体浮肿，舌苔白滑或白腻，脉弦滑。	紫苏子 半夏 川当归 甘草 前胡 厚朴 肉桂 陈皮
风寒外束，痰热内蕴证。咳喘痰多气急，质稠色黄，或微恶风寒，舌苔黄腻，脉滑数者。	白果 麻黄 苏子 甘草 款冬花 杏仁 桑白皮 黄芩 法半夏
痰饮呕吐。呕吐痰涎，口不渴，或干呕呃逆，谷不得下，小便自利，舌苔白滑。	半夏 生姜
胃反证。朝食暮吐，或暮食朝吐，宿谷不化，吐后转舒，神疲乏力，面色少华，肢体羸弱，大便燥结如羊屎状，舌淡红，苔少，脉细弱。	半夏 人参 白蜜
胃虚痰阻气逆证。胃脘痞闷或胀满，按之不痛，频频嗳气，或见纳差，呃逆、恶心，甚或呕吐，舌苔白腻，脉缓或滑。	旋覆花 人参 生姜 代赭石 甘草 半夏 大枣
胃虚有热之呃逆。呃逆或干呕，虚烦少气，口干，舌红嫩，脉虚数。	橘皮 竹茹 大枣 生姜 甘草 人参
下焦蓄血证。少腹急结，小便自利，甚则烦躁谵语，神志如狂，至夜发热；以及血瘀经闭，痛经，脉沉实而涩者。	桃仁 大黄 桂枝 甘草 芒硝
胸中血瘀证。胸痛，头痛，日久不愈，痛如针刺而有定处，或呃逆日久不止，或饮食即呛，干呕，或内热闷，或心悸怔忡，失眠多梦，急躁易怒，入暮潮热，唇暗或两目暗黑，舌质暗红，或舌有瘀斑或瘀点，脉涩或弦紧。	桃仁 红花 当归 生地黄 川芎 赤芍 牛膝 桔梗 柴胡 枳壳 甘草
活血通窍。	赤芍 川芎 桃仁 红花 葱根 姜 红枣 麝香 黄酒
中风之气虚血瘀证。半身不遂，口眼wai斜，语言謇涩，口角流涎，小便频数或遗尿失禁，舌暗淡，苔白，脉缓无力。	黄芪 当归尾 赤芍 地龙 川芎 红花 桃仁
冲任虚寒，瘀血阻滞证。漏下不止，或血色暗而有块，淋漓不畅，或月经超前或延后，或逾期不止，或一月再行，或经停不至，而见少腹里急，腹满，傍晚发热，手心烦热，唇口干燥，舌质暗红，脉细而涩。亦治妇人宫冷，久不受孕。	吴茱萸 当归 芍药 川芎 人参 桂枝 阿胶 牡丹皮 生姜 甘草 半夏 麦冬
瘀阻胞宫证。妇人素有癥块，妊娠漏下不止，或胎动不安，血色紫黑晦暗，腹痛拒按，或经闭腹痛，或产后恶露不尽而腹痛拒按者，舌质紫暗或有瘀点，脉迟涩。	桂枝 茯苓 丹皮 桃仁 芍药
血热妄行之上部出血证。呕血、吐血、咯血、嗽血、衄血等，血色鲜红，来势急暴，舌红，脉数。	大蓟 小蓟 荷叶 侧柏叶 茅根 茜根 山栀 大黄 牡丹皮 棕榈皮
肝火犯肺之咳血证。咳嗽痰稠带血，咯吐不爽，心烦易怒，胸胁作痛，咽干口苦，颊赤便秘，舌红苔黄，脉弦数。	青黛 瓜蒌仁 海粉 山栀子 诃子
热结下焦之血淋、尿血。尿中带血，小便频数，赤涩热痛，舌红，脉数。	生地黄 小蓟 滑石 木通 蒲黄 藕节 淡竹叶 当归 山栀子 甘草
风热湿毒，壅遏肠道，损伤血络证。肠风、脏毒，或便前出血，或便后出血，或粪中带血，以及痔疮出血，血色鲜红或晦暗，舌红苔黄，脉数。	槐花 柏叶 荆芥穗 枳壳
脾阳不足，脾不统血证。大便下血，先便后血，以及吐血、衄血、妇人崩漏，血色暗淡，四肢不温，面色萎黄，舌淡苔白，脉沉细无力。	甘草 干地黄 白术 附子 阿胶 黄芩 灶心黄土
外感风邪头痛。偏正头痛，或巅顶作痛，目眩鼻塞，或恶风发热，舌苔薄白，脉浮。	薄荷叶 川芎 荆芥 细辛 防风 白芷 羌活 甘草
风邪初中经络证。口眼斜，舌强不能言语，手足不能运动，或恶寒发热，苔白或黄，脉浮数或弦细。	秦艽 甘草 川芎 当归 白芍药 细辛 川羌活 防风 黄芩 石膏 吴白芷 白术 生地黄 熟地黄 白茯苓 川独活
风寒湿痹。肢体筋脉疼痛，麻木拘挛，关节屈伸不利，疼痛游走不定，舌淡紫，苔白，脉沉弦或涩。亦治中风手足不仁，日久不愈，经络中有湿痰瘀血，而见腰腿沉重，或腿臂间作痛。	川乌 草乌 地龙 天南星 乳香 没药
破伤风。牙关紧急，口撮唇紧，身体强直，角弓反张，甚则咬牙缩舌，脉弦紧。	南星 防风 白芷 天麻 羌活 白附子
风疹、湿疹。皮肤瘙痒，疹出色红，或遍身云片斑点，抓破后渗出津水，苔白或黄，脉浮数。	当归 生地 防风 蝉蜕 知母 苦参 胡麻 荆芥 苍术 牛蒡子 石膏 甘草 木通
肝热生风证。高热不退，烦闷躁扰，手足抽搐，发为痉厥；甚则神昏，舌绛而干，或舌焦起刺，脉弦而数；以及肝热风阳上逆，头晕胀痛，耳鸣心悸，面红如醉，或手足躁扰，甚则疭，舌红，脉弦数。	羚角片 霜桑叶 川贝 鲜生地 双钩藤 滁菊花 茯神木 生白芍 生甘草 淡竹茹
类中风。头目眩晕，目胀耳鸣，脑部热痛，面色如醉，心中烦热；或时常噫气，或肢体渐觉不利，口眼渐形斜；甚或眩晕颠仆，昏不知人，移时始醒，或醒后不能复元，脉弦长有力。	怀牛膝 生赭石 生龙骨 生牡蛎 龟板 生杭芍 玄参 天冬 川楝子 生麦芽 茵陈 甘草
外感凉燥证。恶寒无汗，头微痛，咳嗽痰稀，鼻塞咽干，苔白脉弦。	苏叶 半夏 茯苓 前胡 苦桔梗 枳壳 甘草 生姜 大枣 杏仁 橘皮
外感温燥证。身热不甚，口渴，咽干鼻燥，干咳无痰或痰少而黏，舌红，苔薄白而干，脉浮数而右脉大者。	桑叶 杏仁 沙参 象贝母 香豉 栀皮 梨皮
温燥伤肺，气阴两伤证。身热头痛，干咳无痰，气逆而喘，咽喉干燥，鼻燥，心烦口渴，胸满胁痛，舌干少苔，脉虚大而数。	桑叶 石膏 甘草 人参 胡麻 阿胶 麦门冬 杏仁 枇杷叶
阳明温病，津亏便秘证。大便秘结，口渴，舌干红，脉细数或沉而无力。	玄参 麦冬 细生地
1、虚热肺痿。咳嗽气喘，咽喉不利，咯痰不爽，或咳唾涎沫，口干咽燥，手足心热，舌红少苔，脉虚数。2、胃阴不足证。呕吐，纳少，呕逆，口渴咽干，舌红少苔，脉虚数。	麦门冬 半夏 人参 甘草 粳米 大枣
白喉之阴虚燥热证。喉间起白如腐，不易拭去，并逐渐扩展，病变甚速，咽喉肿痛，初起或发热或不发热，鼻干唇燥，或咳或不咳，呼吸有声，似喘非喘，脉数无力或细数。	生地 麦冬 甘草 玄参 贝母 丹皮 薄荷 白芍
肺肾阴亏，虚火上炎证。咳嗽气喘，痰中带血，咽喉燥痛，头晕目眩，午后潮热，舌红少苔，脉细数。	熟地 生地 当归 白芍 甘草 桔梗 玄参 贝母 麦冬 百合
湿滞脾胃证。脘腹胀满，不思饮食，口淡无味，恶心呕吐，嗳气吞酸，肢体沉重，怠惰嗜卧，常多自利，舌苔白腻而厚，脉缓。	苍术 厚朴 陈皮 甘草
湿热黄疸。一身面目俱黄，黄色鲜明，发热，无汗或但头汗出，口渴欲饮，恶心呕吐，腹微满，小便短赤，大便不爽或秘结，舌红苔黄腻，脉沉数或滑数有力。	茵陈 栀子 大黄
湿热淋证。尿频尿急，溺时涩痛，淋沥不畅，尿色浑赤，甚则癃闭不通，小腹急满，口燥咽干，舌苔黄腻，脉滑数。	车前子 瞿麦 萹蓄 滑石 山栀子 甘草 木通 大黄
湿温初起及暑温夹湿之湿重于热证。头身恶寒，身重疼痛，肢体倦怠，面色淡黄，胸闷不饥，午后身热，苔白不渴，脉弦细而濡。	杏仁 滑石 白通草 白蔻仁 竹叶 厚朴 生薏苡仁 半夏
膀胱气化不利之蓄水证。小便不利，头痛微热，烦渴欲饮，甚则水入即吐；或脐下动悸，吐涎沫而头目眩晕；或短气而咳；或水肿、泄泻。舌苔白，脉浮或浮数。	猪苓 泽泻 白术 茯苓 桂枝 
水热互结证。小便不利，发热，口渴欲饮，或心烦不寐，或兼有咳嗽、呕恶、不利，舌红苔白或微黄，脉细数。又治血淋，小便涩痛，点滴难出，小腹满痛者。	猪苓 茯苓 泽泻 阿胶 滑石
中阳不足之痰饮。胸胁支满，目眩心悸，短气而咳，舌苔白滑，脉弦滑或沉紧。	茯苓 桂枝 白术 甘草
阳虚水泛证。畏寒肢厥，小便不利，心下悸动不宁，头目眩晕，身体筋肉瞤动，站立不稳，四肢沉重疼痛，浮肿，腰以下为甚；或腹痛，泄泻；或咳喘呕逆。舌质淡胖，边有齿痕，舌苔白滑，脉沉细。	茯苓 芍药 白术 生姜 附子
痹证日久，肝肾两虚，气血不足证。腰膝疼痛、痿软，肢节屈伸不利，或麻木不仁，畏寒喜温，心悸气短，舌淡苔白，脉细弱。	独活 桑寄生 杜仲 牛膝 细辛 秦艽 茯苓 肉桂 防风 川芎 人参 甘草 当归 芍药 干地黄
湿痰证。咳嗽痰多，色白易咯，恶心呕吐，胸膈痞闷，肢体困重，或头眩心悸，舌苔白滑或腻，脉滑。	半夏 橘红 白茯苓 甘草
胆郁痰扰证。胆怯易惊，头眩心悸，心烦不眠，夜多异梦；或呕恶呃逆，眩晕，癫痫。苔白腻，脉弦滑。	半夏 竹茹 枳实 陈皮 甘草 茯苓
痰热咳嗽。咳嗽气喘，咯痰黄稠，胸膈痞闷，甚则气急呕恶，烦躁不宁，舌质红，苔黄腻，脉滑数。	陈皮 杏仁 枳实 黄芩 瓜蒌仁 茯苓 胆南星 制半夏
痰热互结证。胸脘痞闷，按之则痛，或心胸闷痛，或咳痰黄稠，舌红苔黄腻，脉滑数。	黄连 半夏 瓜蒌实
燥痰咳嗽。咳嗽呛急，咯痰不爽，涩而难出，咽喉干燥哽痛，苔白而干。	贝母 瓜蒌 花粉 茯苓 橘红 桔梗
